"Frambuesa", 2154.48, 90
"Papa", 23.82, 800
"Durazno", 140.81, 768
"Tomate", 798.89, 801
"Choclo", 46.71, 249
"Melón", 84.26, 432
"Lima", 1396.27, 216
"Acelga", 21.84, 900
"Lechuga", 41.14, 918
"Sandía", 67.93, 918
"Limon", 311.48, 637
"Mandarina", 25.66, 900
"Zanahoria", 37.73, 630
"Ciruela", 926.32, 783
"Palta", 451.37, 595
"Kinoto", 43.63, 192
"Cereza", 1018.11, 230
"Limon", 326.70, 833
"Higo", 2481.37, 83
"Calabaza", 22.10, 672
"Coliflor", 27.80, 570
"Frutilla", 284.38, 273
"Naranja", 11.62, 1060
"Frambuesa", 2021.26, 95
"Rabanito", 229.70, 309
"Pera", 147.55, 1000
"Cereza", 1022.39, 172
"Papa", 22.15, 1180
"Lechuga", 49.87, 846
"Zuccini", 70.21, 594
"Higo", 2507.17, 91
"Alcachofa", 125.84, 306
"Cereza", 1020.43, 204
"Frambuesa", 2052.23, 96
"Papa", 17.18, 940
"Cereza", 1017.36, 236
"Lima", 1295.54, 204
"Higo", 2462.70, 110
"Naranja", 7.47, 1190
"Repollo", 5.11, 742
"Durazno", 186.65, 824
"Morrón", 2946.01, 690
"Espárrago", 630.56, 188
"Choclo", 53.34, 336
"Durazno", 163.89, 768
"Manzana", 140.43, 940
"Choclo", 59.71, 255
"Champignon", 3676.72, 106
"Calabaza", 20.72, 640
"Durazno", 257.91, 824
"Morrón", 3033.91, 498
"Durazno", 272.47, 832
"Ciruela", 986.22, 1008
"Apio", 74.31, 309
"Calabaza", 16.40, 920
"Palta", 451.26, 490
"Champignon", 3512.87, 81
"Champignon", 3549.58, 90
"Tomate", 748.33, 1062
"Palta", 487.13, 460
"Uva", 707.05, 243
"Kinoto", 35.67, 240
"Repollo", -0.92, 735
"Lima", 1173.35, 214
"Kinoto", 43.01, 200
"Zanahoria", 38.11, 504
"Acelga", 19.10, 837
"Manzana", 116.67, 830
"TomCherry", 568.18, 210
"Brócoli", 374.65, 348
"Tomate", 751.35, 963
"Lima", 1081.69, 226
"Apio", 56.64, 330
"Kiwi", 444.62, 408
"Melón", 111.15, 332
"Rabanito", 231.90, 336
"Naranja", 18.85, 1030
"Repollo", 8.69, 714
"Palta", 1077.10, 352
"Kiwi", 455.02, 400
"Kinoto", 40.28, 198
"Limon", 304.95, 602
"Coliflor", 30.22, 550
"Zuccini", 103.90, 582
"Papa", 6.76, 820
"Pera", 164.17, 1040
"Espárrago", 601.68, 200
"Acelga", 18.08, 1080
"Durazno", 179.63, 832
"Lima", 1216.46, 176
"Lima", 1294.77, 210
"Rabanito", 210.39, 273
"Durazno", 132.65, 888
"Kiwi", 453.24, 384
"Limon", 313.90, 791
"Lima", 1072.94, 222
"Pomelo", 41.72, 747
"Limon", 359.54, 714
"Higo", 2512.09, 81
"Kiwi", 474.05, 424
"Cereza", 1032.71, 232
"Acelga", 21.37, 963
"Uva", 708.64, 357
"Ajo", 923.76, 96
"Espárrago", 651.90, 230
"Champignon", 3605.73, 85
"Berenjena", 54.15, 576
"Morrón", 2942.83, 678
"Tomate", 750.70, 882
"Durazno", 272.99, 808
"Frambuesa", 2125.70, 119
"Pepino", 47.09, 475
"Frambuesa", 1986.59, 83
"Ciruela", 978.64, 882
"Lima", 1407.61, 208
"TomCherry", 570.22, 180
"Durazno", 245.67, 712
"Higo", 2544.85, 81
"Kinoto", 31.58, 210
"Cereza", 986.94, 220
"Caqui", 788.50, 85
"Kinoto", 37.94, 188
"Durazno", 181.59, 688
"Durazno", 265.47, 768
"Mandarina", 28.95, 940
"Coliflor", 25.41, 580
"Naranja", 20.35, 1130
"Higo", 2492.30, 111
"Cebolla", 62.29, 936
"Kiwi", 435.14, 400
"Zuccini", 76.19, 546
"Sandía", 62.96, 999
"Higo", 2572.99, 80
"Choclo", 49.07, 309
"Choclo", 64.05, 273
"Rabanito", 222.77, 294
"Lima", 1047.14, 180
"Ciruela", 994.51, 1026
"Melón", 123.27, 360
"Naranja", 11.93, 1040
"Choclo", 56.10, 267
"Tomate", 767.89, 738
"Champignon", 3637.64, 120
"Pomelo", 46.98, 855
"Kiwi", 414.47, 424
"Apio", 58.31, 333
"Frambuesa", 2049.11, 119
"Calabaza", 22.68, 864
"Durazno", 266.76, 648
"Acelga", 21.93, 1035
"Brócoli", 361.96, 388
"Papa", 12.06, 1090
"Cereza", 995.59, 210
"Manzana", 139.35, 960
"Frambuesa", 2060.39, 106
"Choclo", 61.59, 294
"Papa", 18.05, 1000
"Repollo", 6.31, 714
"Kiwi", 432.84, 356
"Repollo", 4.23, 749
"Lima", 1347.62, 172
"Frutilla", 279.01, 336
"Ciruela", 955.52, 1035
"Uva", 701.94, 252
"Choclo", 52.79, 336
"Lechuga", 27.00, 765
"Alcachofa", 152.62, 255
"Tomate", 741.96, 756
"Rabanito", 227.49, 273
"Banana", 52.44, 950
"Durazno", 135.85, 960
"Tomate", 793.82, 738
"Zuccini", 92.15, 576
"Mandarina", 15.57, 1170
"Lima", 1406.59, 220
"Pepino", 43.61, 485
"Brócoli", 379.38, 364
"Frutilla", 277.90, 333
"Alcachofa", 144.42, 297
"Lima", 990.24, 182
"Zuccini", 87.96, 654
"Zanahoria", 36.65, 504
"Repollo", 2.70, 763
"Higo", 2446.90, 96
"Zuccini", 83.98, 708
"Calabaza", 16.19, 856
"Repollo", 1.95, 693
"Caqui", 806.52, 116
"Kinoto", 42.40, 240
"Frutilla", 305.85, 333
"Caqui", 817.34, 95
"Choclo", 52.34, 264
"Berenjena", 58.24, 642
"Lima", 1168.42, 208
"Coliflor", 35.87, 540
"Acelga", 20.42, 972
"Frutilla", 299.92, 348
"Acelga", 18.70, 927
"Mandarina", 21.02, 1090
"Lima", 1261.35, 194
"Durazno", 159.80, 848
"Ajo", 894.69, 99
"Kiwi", 454.93, 372
"Durazno", 134.36, 704
"Pepino", 34.25, 425
"Mandarina", 17.30, 910
"Tomate", 743.13, 891
"Durazno", 188.68, 744
"Tomate", 725.80, 1026
"Kiwi", 436.29, 480
"Sandía", 45.16, 864
"Zuccini", 96.61, 720
"Mandarina", 10.97, 1180
"Apio", 53.80, 243
"Acelga", 14.54, 738
"Lima", 1384.05, 172
"Manzana", 146.66, 1080
"Lima", 1213.67, 192
"Repollo", 3.90, 791
"Tomate", 785.00, 954
"Palta", 500.74, 465
"Pomelo", 46.87, 909
"Lima", 1200.11, 234
"Kinoto", 29.75, 160
"Cebolla", 68.93, 664
"Frambuesa", 2044.47, 93
"Sandía", 47.92, 828
"Palta", 1173.57, 480
"Champignon", 3545.90, 80
"Lechuga", 41.85, 765
"Naranja", 21.59, 1020
"Coliflor", 20.11, 415
"Apio", 56.27, 309
"Espárrago", 642.36, 214
"Rabanito", 223.71, 255
"Champignon", 3593.68, 100
"Berenjena", 60.50, 642
"Kinoto", 31.69, 204
"Palta", 467.44, 475
"Choclo", 62.49, 240
"Mandarina", 13.67, 870
"Lima", 1269.97, 210
"Papa", 14.23, 1130
"Uva", 706.93, 240
"Frambuesa", 2141.23, 85
"Brócoli", 326.83, 400
"Ciruela", 896.79, 936
"Ajo", 849.79, 88
"Pepino", 37.88, 425
"Lechuga", 31.20, 882
"Berenjena", 50.13, 594
"Papa", 17.52, 890
"Pera", 132.94, 1060
"Lima", 1391.33, 214
"Choclo", 44.26, 354
"Pomelo", 57.67, 801
"Sandía", 51.65, 882
"Caqui", 835.12, 101
"Higo", 2509.48, 118
"Acelga", 13.99, 972
"Naranja", 10.16, 860
"Acelga", 10.70, 909
"Palta", 1116.62, 380
"Frambuesa", 1995.00, 96
"Palta", 501.69, 460
"Kinoto", 39.08, 172
"Durazno", 184.04, 672
"Palta", 463.79, 485
"Berenjena", 60.45, 612
"Mandarina", 13.11, 1190
"Sandía", 52.69, 945
"Lima", 1383.13, 224
"Durazno", 182.25, 768
"Brócoli", 350.09, 480
"Caqui", 835.99, 117
"Calabaza", 20.72, 872
"Batata", 25.24, 1190
"Repollo", 4.06, 595
"Lima", 1026.92, 224
"Repollo", 2.96, 798
"Durazno", 267.02, 744
"Sandía", 52.65, 999
"Pomelo", 52.35, 990
"Naranja", 15.23, 960
"TomCherry", 578.76, 212
"Limon", 323.66, 644
"Naranja", 9.91, 1120
"Durazno", 131.54, 704
"Lima", 994.85, 164
"Ajo", 938.07, 105
"Banana", 67.43, 880
"Higo", 2380.19, 97
"Banana", 75.55, 1100
"Ajo", 903.54, 115
"Choclo", 46.76, 282
"Limon", 317.11, 735
"Zanahoria", 32.18, 678
"Banana", 59.51, 1040
"Berenjena", 48.91, 534
"Batata", 22.23, 1150
"Durazno", 155.37, 832
"Kinoto", 32.74, 168
"Durazno", 160.73, 960
"Cebolla", 71.97, 648
"Cebolla", 75.06, 744
"Lima", 1418.39, 172
"Rabanito", 221.73, 240
"Choclo", 63.65, 321
"Pepino", 48.23, 520
"Frutilla", 303.64, 279
"Papa", 18.34, 1150
"Naranja", 12.69, 1170
"Sandía", 63.06, 1053
"Cereza", 1080.76, 240
"Coliflor", 24.31, 580
"Zanahoria", 38.49, 666
"Mandarina", 31.32, 1060
"Zuccini", 80.35, 534
"Ajo", 875.56, 97
"Caqui", 823.50, 80
"Durazno", 267.75, 656
"Cebolla", 74.26, 752
"Kiwi", 436.96, 364
"Lima", 1381.55, 206
"Cebolla", 63.36, 752
"Cereza", 1001.82, 220
"Cereza", 1050.07, 226
"Ciruela", 955.35, 909
"Pera", 149.10, 1090
"Manzana", 144.76, 1130
"Naranja", 14.92, 1120
"Berenjena", 44.40, 606
"Tomate", 716.88, 756
"Rabanito", 238.57, 327
"Calabaza", 20.84, 936
"Pepino", 43.63, 520
"Pomelo", 58.13, 783
"Mandarina", 25.01, 1090
"Limon", 323.86, 644
"Caqui", 783.13, 94
"Lima", 1345.87, 174
"Alcachofa", 143.30, 315
"Alcachofa", 145.30, 318
"Durazno", 263.65, 896
"Zuccini", 83.03, 528
"Higo", 2419.07, 93
"Apio", 59.56, 321
"Melón", 117.14, 392
"Naranja", 9.00, 860
"Papa", 16.17, 1090
"Coliflor", 32.70, 565
"Palta", 1083.26, 368
"Zanahoria", 42.77, 552
"Apio", 46.89, 360
"Zanahoria", 37.33, 546
"Rabanito", 241.23, 255
"Zanahoria", 25.61, 516
"Lima", 1209.01, 230
"Mandarina", 20.53, 920
"Higo", 2554.83, 86
"Durazno", 178.61, 744
"Caqui", 804.18, 82
"Batata", 20.99, 990
"Uva", 717.13, 243
"Ciruela", 901.66, 810
"Pera", 156.46, 960
"Alcachofa", 121.99, 330
"Ciruela", 921.75, 756
"Frutilla", 249.14, 336
"Manzana", 151.22, 1200
"Palta", 1232.45, 356
"Batata", 30.29, 1150
"Tomate", 767.19, 864
"Pepino", 34.75, 585
"Brócoli", 368.86, 404
"Pera", 132.37, 1030
"Palta", 1153.87, 348
"Ajo", 908.66, 92
"Kinoto", 32.57, 214
"TomCherry", 530.34, 200
"Brócoli", 305.51, 476
"Espárrago", 617.96, 208
"Manzana", 130.30, 1130
"Frambuesa", 2010.82, 99
"Uva", 722.94, 276
"Berenjena", 35.51, 588
"Pepino", 45.57, 420
"Zuccini", 96.99, 480
"Papa", 13.81, 820
"Durazno", 261.36, 656
"Berenjena", 58.70, 642
"Coliflor", 28.75, 540
"Lima", 1210.84, 226
"Melón", 88.22, 352
"Champignon", 3574.56, 82
"Lima", 1263.10, 200
"Naranja", 17.61, 1180
"Ajo", 872.49, 107
"Calabaza", 21.75, 712
"Espárrago", 601.89, 180
"Ciruela", 939.67, 846
"Cebolla", 62.14, 856
"Batata", 12.63, 1120
"Choclo", 56.36, 303
"Tomate", 745.55, 1080
"Cereza", 1077.22, 190
"Rabanito", 247.49, 264
"Mandarina", 27.02, 810
"Mandarina", 23.76, 1000
"Lima", 1065.11, 190
"Berenjena", 49.82, 684
"Morrón", 2991.53, 666
"Ciruela", 950.46, 1080
"Limon", 322.96, 588
"Zuccini", 75.37, 684
"Brócoli", 325.13, 416
"Mandarina", 20.11, 860
"Banana", 58.81, 1200
